,row,col,rotation
1_image_1.png,287.074,351.911,3.62947
1_image_2.png,241.143,275.393,0.0525694
1_image_3.png,199.022,392.827,0.439606
1_image_4.png,,,
1_image_5.png,309.135,217.21,0.787359
1_image_6.png,264.272,276.423,0.985135
1_image_7.png,218.641,291.683,1.15603
1_image_8.png,,,
1_image_9.png,279.277,270.859,1.57313
1_image_10.png,285.46,353.975,1.85342
1_image_11.png,283.632,257.88,2.02138
1_image_12.png,259.108,265.612,2.23678
1_image_13.png,226.865,269.012,2.39639
1_image_14.png,278.911,273.443,2.57649
1_image_15.png,233.555,316.78,2.71532
1_image_16.png,175.538,386.751,2.89247
1_image_17.png,194.258,383.741,3.09837
1_image_18.png,239.077,386.975,3.34104
1_image_19.png,285.982,430.422,3.48271
