,row,col,rotation,row,col,rotation,row,col,rotation,row,col,rotation,row,col,rotation
1_image_1.png,274.578,307.678,-4.7153,,,,,,,,,,,,
1_image_2.png,332.353,451.61,-4.65238,,,,,,,,,,,,
1_image_3.png,193.562,281.096,1.76619,194.842,122.167,1.78778,348.603,457.094,1.77512,366.509,288.579,1.85837,371.897,116.971,1.78537
1_image_4.png,193.991,280.513,1.76485,195.349,121.689,1.78339,367.389,287.899,1.86791,348.596,456.356,1.77616,,,
1_image_5.png,193.924,280.607,1.7613,367.292,287.87,1.86702,348.611,456.312,1.77614,,,,,,
1_image_6.png,367.67,288.099,1.86151,348.524,456.691,1.78044,,,,,,,,,
1_image_7.png,348.512,456.652,1.77034,,,,,,,,,,,,
1_image_8.png,169.935,274.156,1.85141,336.818,286.012,0.308445,173.815,451.876,1.78841,351.608,452.629,1.76208,349.279,109.808,1.81154
1_image_9.png,352.572,294.42,4.97352,169.966,274.174,1.85196,173.834,451.885,1.78824,351.631,452.627,1.76172,349.289,109.838,1.81141
1_image_10.png,287.69,379.034,-0.552258,387.907,237.07,3.34396,,,,,,,,,
1_image_11.png,264.715,258.31,2.88579,364.073,414.588,4.97492,129.244,313.294,3.19085,194.346,480.946,2.63253,373.328,130.119,1.35455
1_image_12.png,256.286,246.299,4.33758,153.939,365.076,2.53736,341.123,364.811,3.97938,259.402,517.629,5.0963,372.036,120.359,1.19911
1_image_13.png,286.882,238.094,2.64295,157.854,342.367,-0.162478,211.578,486.58,1.22369,386.669,532.279,4.41869,388.933,359.114,4.01037
1_image_14.png,152.405,302.463,2.84292,283.183,246.036,2.73854,390.458,360.235,-0.353661,395.624,528.093,4.98653,240.059,450.27,-0.937249
1_image_15.png,187.275,356.043,1.59241,255.09,199.687,2.73284,235.669,518.651,-0.392888,385.767,448.035,-1.01237,394.228,291.589,-0.986677
1_image_16.png,187.858,353.29,1.55966,385.614,448.517,-1.01313,255.835,195.242,2.77061,233.035,507.99,0.134917,393.915,291.13,-0.977964
1_image_17.png,388.624,457.914,5.16354,255.893,194.975,2.76931,247.731,381.381,1.90323,392.28,291.634,-0.977452,241.559,535.106,0.355018
1_image_18.png,389.219,458.449,5.14958,231.825,353.34,1.86939,383.699,279.155,-1.01813,,,,,,
1_image_19.png,237.423,141.668,2.17642,208.678,289.943,2.02327,196.738,490.375,0.418819,385.737,446.074,-1.02689,383.717,278.967,-1.01866
1_image_20.png,194.579,212.649,2.41289,254.854,84.8912,2.17635,387.513,450.803,5.20479,383.383,278.631,-1.00573,,,
1_image_21.png,214.61,404.565,0.147613,282.881,65.1099,1.96342,386.614,452.229,5.18491,383.456,278.411,-1.01287,215.959,196.186,1.34926
1_image_22.png,339.905,420.6,0.475501,215.123,195.081,2.03937,282.706,65.3872,1.97852,382.839,275.745,-1.00805,,,
1_image_23.png,341.038,477.872,3.2323,195.985,239.77,1.88742,157.052,427.48,-0.00320166,386.357,167.395,5.11849,326.937,316.77,0.341757
1_image_24.png,316.447,227.605,4.88341,286.807,368.777,2.12537,,,,,,,,,
